Materialnummer,Kurztext,Einkaufsbestelltext
1194011,"O-Ring 33,0x5,0mm Viton FPM 80 Shore","O-Ring
33,00 x 5,00mm
WST: Viton FPM
80° Shore"
826630,Keilriemen SPA 2532 LW,"Keilriemen
SPA 2532mm LW
Wirklänge ISO LW 2532mm
Innenlänge LI 2487mm
Außenlänge LA 2550mm"
1970165,Wellendichtring 35 x 62 x 8 BAUMSL Viton,"Wellendichtring
35 x 62 x 8
BAUMSL Viton"
380433,Mutter M36 DIN982-8 verz.,"Sechskantmutter mit Polyamidklemmteil
hohe Form
M36
DIN 982-8
verzinkt"
1970257,Lager 23134 E1AM SKF,"Lager
23134 E1AM
SKF"
1970099,Servomotor AM8051-1G21-9000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8051-1G21-9000
N1 Antriebsdrehzahl 5,000.00 1/min
Spannung 400V
Bauform B5
Isolierklasse F
Schutzart IP54
Art.Nr.: 10802210"
1619853,Mutter M36x2 DIN439-04 verz.,"Sechskantmutter niedrig
M36 x 2
DIN 439-04
verzinkt"
1902494,Lager 61840 SKF,"Rillenkugellager
61840 SKF
61840 FAG"
1904136,Lager 22228CCK SKF,"Lager
22228CCK
SKF"
1970103,PN-Schlauch PUN-8-BL-400-HA FESTO,"Kunststoffschlauch
PUN-8-BL-400-HA
553573
FESTO"
1060266,Schraube M10x60H DIN444B 8.8,"Augenschraube
M10 x 60H
DIN 444B
10001815
VARISCO"
1970110,Servomotor 1FK71055AY811YY3Z,"Servomotor
Hersteller KUKA
Typbezeichnung 1FK7105-5AY81-1YY3-Z
Leistung 4,300 kW
N1 Antriebsdrehzahl 3.000,00 1/min
Drehzahl max. 5.000,00 1/min
Spannung 203 V
Nennstrom 15,5 A
Isolierklasse F
Schutzart IP65
Art.Nr.: 131491"
1813919,Servomotor 1PH7101-7JF03-0BB3-Z M39,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1PH7101-7JF03-0BB3-Z M39
Leistung [kW]:                  3,800 kW
N1 Antriebsdrehzahl:            1.750,00 1/min
Spannung [50Hz]:                398Y
Baugröße:                       B35
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser"
1957734,GT-Motor S37DRN63M4TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 S37 DRN63M4/TH
Leistung [kW]:                  0,180 kW
N1 Antriebsdrehzahl:            1.375,00 1/min
N2 Abtriebsdrehzahl:            126,00 1/min
Getriebeübersetzung i:          10,910
Spannung [50Hz]:                220-240D/380-415Y
Bauform:                        M2A
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Motorvollschutz (Thermofühler): Ja"
1970403,Servomotor 1PH8186-1HF132BD1-Z,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1PH8186-1HF132BD1-Z
Leistung [kW]: 94,000 kW
N1 Antriebsdrehzahl: 2.200,00 1/min
Bauform: B35
Isolierklasse: Iso-Kl.:H (tma x =180°C)
Schutzart: IP55-Staubablage/Strahlwasser"
1970304,GT-Motor S37DRN63M4TH,"Getriebemotor
Hersteller: SEW
Typbezeichnung: S37 DRN63M4/TH
Leistung [kW]: 0,180 kW
N1 Antriebsdrehzahl: 1.375,00 1/min
N2 Abtriebsdrehzahl: 126,00 1/min
Getriebeübersetzung i: 10,910
Spannung [50Hz]: 220-240D/380-415Y
Bauform: M2A
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Motorvollschutz (Thermofühler): Ja"
1970284,GT-Motor FH77DRU100L4TF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: FH77DRU100L4TF
Leistung [kW]: 2,200 kW
N1 Antriebsdrehzahl: 1.464,00 1/min
N2 Abtriebsdrehzahl: 20,00 1/min
Getriebeübersetzung i: 75,020
Spannung [50Hz]: 230D/400Y
Bauform: M1
Baugröße: 100L (H=100mm/Gehäuseausf.:L)
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP65-Staubdicht/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE4 Super Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970236,Radialwellendichtring 35x62x10 BASL Viton,"Radialwellendichtring
35x62x10
BASL Viton"
1970313,Lager NJ2322ECML SKF,"Radial-Zylinderrollenlager
NJ-2322-ECML
SKF"
1970287,GT-Motor KA19BTDRN80MK4EK8SPK,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KA19BTDRN80MK4EK8SPK
Leistung [kW]: 0,550 kW
Antriebsmoment (ma x ): 80,00 NM
N1 Antriebsdrehzahl: 1.745,00 1/min
N2 Abtriebsdrehzahl: 218,00 1/min
Getriebeübersetzung i: 8,010
Spannung [50Hz]: 220-240D/380-415Y
Bauform: M2A
Isolierklasse: Iso-Kl.:B (tma x =130°C)
Schutzart: IP54-Staubablage/Spritzwasser
Bremsgroesse: NM30/24
Energieeffizienzklasse: IE3 Premium Efficiency"
1970267,Lager 23230 CCW33C3 SKF,"Lager
23230 CCW33C3
SKF"
1970400,Servomotor 1PH7163-7HF33-0BB3-Z M39,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1PH7163-7HF33-0BB3-Z M39
Leistung [kW]: 31,000 kW
N1 Antriebsdrehzahl: 1.750,00 1/min
Spannung [50Hz]: 364Y
Bauform: B35
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser"
1970343,GT-Motor KH77DRN112M4KCCTF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH77DRN112M4KCCTF
Leistung [kW]: 4,000 kW
Antriebsmoment (ma x ): 1.550,00 NM
Antriebsmoment (nenn): 1.340,00 NM
N1 Antriebsdrehzahl: 1.464,00 1/min
N2 Abtriebsdrehzahl: 29,00 1/min
Getriebeübersetzung i: 51,180
Spannung [50Hz]: 230D/400Y
Bauform: M1A
Klemmkastenlage: 180 NORMAL
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970127,Mutter M36 DIN 982-8 A2,"Sechskantmutter mit Klemmteil
hohe Form
M36
DIN 982-8
A2
Edelstahl"
1970296,GT-Motor WAF30DRN80MK4TH,"Getriebemotor
Hersteller: SEW
Typbezeichnung: WAF30DRN80MK4TH
Leistung [kW]: 0,550 kW
N1 Antriebsdrehzahl: 1.435,00 1/min
N2 Abtriebsdrehzahl: 175,00 1/min
Getriebeübersetzung i: 8,200
Spannung [50Hz]: 220-240D/380-415Y
Bauform: M5A
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
994445,"Mutter M36x1,5 DIN439-04 verz.","Sechskantmutter niedrig
M30 x 1,5
DIN 439-04
verzinkt"
1970331,Lager 21311 EC3 SKF,"Pendelrollenlager
21311 E C3
SKF"
1970158,PN-Zylinder ADN-25-40-A-P-A 536257 FESTO,"Kompaktzylinder
ADN-25-40-A-P-A
536257
FESTO"
1820982,Modul 6SN1123-1AA00-0CA1 SIEMENS,Modul 6SN1123-1AA00-0CA1 SIEMENS
1970196,Lager 2217 KC3 SKF,"Lager
2217 KC3
SKF"
1970425,Keilriemen SPA 2532 LW,"Keilriemen
SPA 2532 mm LW
Wirklänge ISO LW 2532 mm
Innenlänge LI 2487 mm
Außenlänge LA 2550 mm"
1970078,"Kettenrad B-1 5/8"" Z13 K 9183-4.2.3","Kettenrad
B-1 5/8"" Z13
K 9183-4.2.3
DIN 8187"
195609,GT-Motor KA37DRS80S4TH,"Getriebemotor
Hersteller                     SEW
Typbezeichnung                 KA37DRS80S4/TH
Motorleistung                  0,750 kW
Antriebsdrehzahl N1            1.400,00 1/min
Abtr.Drehzahl N2               206,00 1/min
Spannung                       230D/400Y
Bauform                        M4B
Isolierklasse                  F
Schutzart                      IP54
Ausführungsart                 Hohlwelle
Hohlwelle                      d = 30mm"
1958358,GT-Motor KA87DRN180L4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KA87 DRN180L4/TF
Leistung [kW]:                  22,000 kW
Antriebsmoment (max):           2.300,00 Nm
N1 Antriebsdrehzahl:            1.477,00 1/min
N2 Abtriebsdrehzahl:            76,00 1/min
Getriebeübersetzung i:          19,450
Spannung [50Hz]:                380-400D/660-690Y
Bauform:                        M3-M4A/45°
Baugröße:                       180L (H=180mm/Gehäuseausf.: L)
Klemmkastenlage:                Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970052,Mutter M36 DIN 934-8 verzinkt.,"Hexagonmutter
M36 DIN 934-8 verzinkt."
1908717,Lager E1K C3 23152 SKF,"Lager
E1K C3
23152
SKF"
1958083,"Getriebe  R77A i=7,74 SEW","Getriebe
Hersteller:                     SEW
Typbezeichnung:                 R77A
N1 Antriebsdrehzahl:            1.400,00 1/min
N2 Abtriebsdrehzahl:            181,00 1/min
Drehmoment:                     610,00 NM
Getriebeübersetzung i:          7,740
Bauform:                        M1
Getriebeausführung:             Stirnradgetriebe"
1970416,Servomotor 1FT7105-5SF70-1CA0,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FT7105-5SF70-1CA0
N1 Antriebsdrehzahl: 3.000,00 1/min
Antriebsmoment: 48,00 NM
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser"
1904384,Lager 22316 EKC3W33 SKF,"Lager
22316 EKC3W33
SKF"
682544,"Kettenrad B-2 1 1/4"" Z25 TLB 3030","Kettenraeder fuer Zweifach-Rollenkette
1 1/4"" Z25 fuer TL 3030"
1805162,Servomotor 1FT7105-5AF71-CB0-Z,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FT7105-5AF71-CB0-Z
N1 Antriebsdrehzahl:            3.000,00 1/min
Antriebsmoment:                 28,00 NM
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser"
1061094,Schraube M12x70 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x70
8.8
verzinkt"
1970244,Lager 180x225x22mm 61836 SKF,"Lager
180x225x22mm
61836
SKF"
1958404,GT-Motor KH67DRN112M4BE5KCCTF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH67 DRN112M4/BE5/KCC/TF
Leistung [kW]:                  4,000 kW
N1 Antriebsdrehzahl:            1.464,00 1/min
N2 Abtriebsdrehzahl:            83,00 1/min
Getriebeübersetzung i:          17,540
Spannung [50Hz]:                230D/400Y
Bauform:                        M3A
Baugröße:                       112M (H=112mm/Gehäuseausf.:M)
Klemmkastenlage:                180° Normal
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Motor-Bremse:                   BE5
Bremsgroesse:                   400V AC 55Nm
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970107,Modul 3SU1400-1AA10-3HA0 SIEMENS,"Kontaktmodul
3SU1400-1AA10-3HA0
SIEMENS"
1818172,Servomotor 1FT6105-8AF71-1EB0,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FT6105-8AF71-1EB0
N1 Antriebsdrehzahl:            3.000,00 1/min
Antriebsmoment:                 28,00 NM
Spannung [50Hz]:                297V
Schutzart:                      IP64-Staubdicht/Spritzwasser
Motor-Bremse:                   Ja"
542920,Wellendichtring 35x62x7 B1,"Wellendichtring
35x62x7
B1"
1970062,Schraube 12x180 DIN 571 4.6 verzinkt.,"Sechskant - Holzschraube
DIN 571
12x180
4.6
galvanisch verzinkt"
969889,Servomotor 1FK71035AF711AH3Z,"Servomotor
Hersteller                     SIEMENS
Typbezeichnung                 1FK71035AF711AH3Z
Antriebsdrehzahl N1            3.000,00 1/min
Antriebsmoment                 36,00 NM
Isolierklasse                  F
Schutzart                      IP64"
1970232,PN-Zylinder ADN-25-40-I-P-A 536265 FESTO,"Kompaktzylinder
ADN-25-40-I-P-A
536265
FESTO"
1970290,GT-Motor DRN71M4BE05FTTH,"Getriebemotor
Herstellerteilenummer: XXXX_SIEMPELKAMP
Hersteller: SEW
Typbezeichnung: DRN71M4BE05FTTH
Leistung [kW]: 0,370 kW
Antriebsmoment (max): 56,00 NM
Antriebsmoment (nenn): 19,00 NM
N1 Antriebsdrehzahl: 1.415,00 1/min
Bauform: M1
Schutzart: IP55-Staubablage/Strahlwasser
Bremsgroesse: 24 DC
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970329,Mutter M36 ISO4032 5.2 schw.,"Mutter
M36
ISO4032
5.2
schwarz"
1970167,Servomotor 1FK71035AF711AH3Z,"Servomotor
Hersteller SIEMENS
Typbezeichnung 1FK71035AF711AH3Z
Antriebsdrehzahl N1 3.000,00 1/min
Antriebsmoment 36,00 NM
Isolierklasse F
Schutzart IP64"
1970279,"O-Ring 33,3 x 2 x 4 mm NBR70 0009632319 LINDE","O-Ring
33,3 x 2 x 4 mm
NBR70
0009632319
LINDE"
1970221,Wellendichtring 35 x 62 x 7 B1,"Wellendichtring
35 x 62 x 7
B1"
1970346,GT-Motor KH77DRN100LS4BE5KCCTF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH77DRN100LS4BE5KCCTF
Leistung [kW]: 2,200 kW
Antriebsmoment (max): 1.550,00 NM
Antriebsmoment (nenn): 740,00 NM
N1 Antriebsdrehzahl: 1.450,00 1/min
N2 Abtriebsdrehzahl: 28,00 1/min
Getriebeübersetzung i: 51,180
Spannung [50Hz]: 230D/400Y
Bauform: M1B
Klemmkastenlage: Normal
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Motor-Bremse: Ja
Bremsgroesse: 415VAC 28NM
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1904111,Lager YAT203 SKF,"Lager
YAT203
SKF"
1970126,Mutter M36x2 DIN 439-04 verzinkt.,"Hexagonmutter niedrig
M36 x 2
DIN 439-04
verzinkt"
1806172,Servomotor 1FT7105-5SF70-1CA0,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FT7105-5SF70-1CA0
N1 Antriebsdrehzahl:            3.000,00 1/min
Antriebsmoment:                 48,00 NM
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser"
1893380,Lager NJ 2203 ECP SKF,"Zylinderrollenlager
NJ2203ECP
SKF"
1970202,Servomotor 1PH7133-2HF03-0BB3,"Servomotor 1PH7133-2HF03-0BB3
1.Leistung 15,00 kW
1.Antr.Drehzahl 1.780,0 1/min
Bauform Fuß-/Flanschausführung B35
Spannung 400D
Frequenz 60 Hz
Isolierklasse Iso-Kl.:F (tmax=155°C)
Schutzart IP54-Staubablag./Spritzwasser"
1970268,Lager 23230 CCW33C3 SKF,"Lager
23230 CCW33C3
SKF"
1970096,Servomotor AM8052-1J21-9000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8052-1J21-9000
N1 Antriebsdrehzahl 4,000.00 1/min
Spannung 400V
Bauform B5
Isolierklasse F
Schutzart IP54
Art.Nr.: 10779584"
1970359,GT-Motor R67DRN112M4TFAL,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R67DRN112M4TFAL
Leistung [kW]: 4,000 kW
Antriebsmoment (ma x ): 550,00 Nm
Antriebsmoment (nenn): 390,00 Nm
N1 Antriebsdrehzahl: 1.464,00 1/min
N2 Abtriebsdrehzahl: 98,00 1/min
Getriebeübersetzung i: 14,910
Spannung [50Hz]: 220-230D/380-400Y
Bauform: M3
Baugröße: 112M (H=112 mm/Gehäuseausf.:M)
Isolierklasse: Iso-Kl.: F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1330663,"Kette 08A-2 12,7 1/2”x7,85mm DIN8188","Kette
08A-2
Teilung: 12,7
Teilung: 1/2""
Innere breite: 7,85mm
DIN 8188
ASA40"
1602710,"O-Ring 34,00x3,00mm NBR 90 Shore A","O-Ring
34,00 x 3,00 mm
WST: NBR
90° Shore A"
1525406,Servomotor AM8043-0H20-0000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8043-0H20-0000
N1 Antriebsdrehzahl            5,000.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10802980"
1970068,Servomotor 373E45402022050FG,"Servomotor
Hersteller BAELZ
Typbezeichnung 373.220V
373.E45-40-20-220-50-Fg
Schubkraft 4.000,00 N
Geschwindigkeit: 20,00 mm/min
Schutzart IP65
Bedienung Manuell
Potentiometer 200 Ohm
Ventil Hub 12mm
Art.Nr.: 00.373-E40-40-20-001"
1912980,Lager 6203 2RS1 VQ658 SKF,"Rillenkugellager
6203-2RS1-VQ658
SKF"
1970150,Schraube M12x60 DIN 603 8.8 verzinkt.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x60
8.8
verzinkt"
1970421,"Kette 08A-1 12,70 1/2"" x 7,85 mm DIN 8188","Einfach Rollenkette
08A-1
Teilung: 12,70 mm (1/2"")
Innere Breite: 7,85 mm
DIN 8188
40R5MT_HITACHI
L85AANSI40_IWIS"
1970056,Schraube M12x30 DIN 933 5.6 verzinkt.,"Hexagonschraube mit Gewinde bis Kopf
DIN 933
M12x30
5.6
verzinkt"
1904434,Lager 23230 CCW33C3 SKF,"Lager
23230 CCW33C3
SKF"
1970342,GT-Motor KH77DRN100L4KCCTF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH77DRN100L4KCCTF
Leistung [kW]: 3,000 kW
Antriebsmoment (max): 1.550,00 NM
Antriebsmoment (nenn): 1.010,00 NM
N1 Antriebsdrehzahl: 1.456,00 1/min
N2 Abtriebsdrehzahl: 28,00 1/min
Getriebeübersetzung i: 51,180
Spannung [50Hz]: 230D/400Y
Bauform: M1B
Klemmkastenlage: 180 NORMAL
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970252,Lager 22316 EKC3W33 SKF,"Lager
22316 EKC3W33
SKF"
1970423,Wellendichtring 35 x 65 x 10 BASL,"Wellendichtring
35 x 65 x 10
BASL"
1970243,Lager 180 x 225 x 22 mm 61836 SKF,"Lager
180 x 225 x 22 mm
61836
SKF"
1970154,Schraube M12x40 DIN 603 8.8 verzinkt.,"Flachrundschraube mit Vierkantansatz
M12x40
DIN 603
8.8
verzinkt"
1970272,Lager 6313/C4 SKF,"Lager
6313/C4
SKF"
105767,Schraube M6x30 DIN933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M6x30
5.6
verzinkt"
1970338,Lager 61840 SKF,"Rillenkugellager
61840 SKF
61840 FAG"
1970241,"O-Ring 34,00 x 3,00 mm EPDM 70Sh pero x","O-Ring
34,00 x 3,00 mm
EPDM 70Sh pero x 900060128
KRONES"
1970149,Schraube M12 x 60 DIN 603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12 x 60
8.8
verzinkt"
831460,Servomotor AB8 AM40 SCHIEBEL,"Servomotor
Hersteller                     SCHIEBEL
Typbezeichnung                 AB8 AM40 2WER 2WEL H AK40 K2
Motorleistung                  0,750 kW
Antriebsdrehzahl N1            40,00 1/min
Antriebsmoment                 90,00 NM"
165212,Servomotor 373E45402022050FG,"Servomotor
Hersteller                   BAELZ
Typbezeichnung               373.220V
                             373.E45-40-20-220-50-Fg
Schubkraft                   4.000,00 N
Geschwindigkeit:             20,00 mm/min
Schutzart                    IP65
Bedienung                    Manuell
Potentiometer                200 Ohm
Ventil Hub                   12mm
Art.Nr.:                     00.373-E40-40-20-001"
1970363,GT-Motor R103DV160M4,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R103DV160M4
Leistung [kW]: 11,000 kW
N1 Antriebsdrehzahl: 1.440,00 1/min
Abt.drehzahl pol-schaltbar N2: 42,00 1/min
Bauform: B3
Isolierklasse: Iso-Kl.:B (tma x =130°C)
Schutzart: IP54-Staubablage/Spritzwasser"
1963347,GT-Motor 404157,"Getriebemotor
Hersteller:                     OTT
Typbezeichnung:                 404157
Antriebsmoment (max):           4,00 NM
Antriebsmoment (nenn):          0,50 NM
N1 Antriebsdrehzahl:            540,00 1/min
Spannung [50Hz]:                24
Schutzart:                      IP30-Fremdkörp>2,5mm/kein Wass
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         Unbekannt
Motorvollschutz (Thermofühler): Nein"
1970315,"O-Ring 33,2 x 2,4 mm NBR70 0009632318 LINDE","O-Ring
33,2 x 2,4 mm
WST: NBR
70 Shore A
0009632318
LINDE"
1970344,GT-Motor KH77DRN112M4KCCTF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH77DRN112M4KCCTF
Leistung [kW]: 4,000 kW
Antriebsmoment (max): 1.550,00 NM
Antriebsmoment (nenn): 1.340,00 NM
N1 Antriebsdrehzahl: 1.464,00 1/min
N2 Abtriebsdrehzahl: 29,00 1/min
Getriebeübersetzung i: 51,180
Spannung [50Hz]: 230D/400Y
Bauform: M1A
Klemmkastenlage: 180 NORMAL
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970040,GT-Motor KH77TDRN100LS4BE5TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH77TDRN100LS4BE5TH
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           1.550,00 NM
Antriebsmoment (nenn):          1.130,00 NM
N1 Antriebsdrehzahl:            1.450,00 1/min
N2 Abtriebsdrehzahl:            19,00 1/min
Getriebeübersetzung i:          78,070
Spannung [50Hz]:                230D/400Y
Bauform:                        M1A
Klemmkastenlage:                180 NORMAL
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Motor-Bremse:                   Ja
Bremsgroesse:                   230VAC 55NM
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970375,GT-Motor R77DRN100L4TFEK8R,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R77DRN100L4TFEK8R
Leistung [kW]: 3,000 kW
Antriebsmoment (ma x ): 420,00 Nm
Antriebsmoment (nenn): 820,00 Nm
N1 Antriebsdrehzahl: 1.456,00 1/min
N2 Abtriebsdrehzahl: 82,00 1/min
Getriebeübersetzung i: 21,430
Spannung [50Hz]: 220-230D/380-400Y
Bauform: M3
Baugröße: 100L (H=100 mm/Gehäuseausf.:L)
Isolierklasse: Iso-Kl.: F (tma x =155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
973456,"O-Ring 33,50x2,00mm N 01095200 KSB","O-Ring
33,5 x 2,0mm
N
01095200
KSB"
1082236,"O-Ring 339,30x5,70mm NBR70 Shore","O-Ring
339,3 x 5,7mm
WST: NBR
70 Shore"
1818152,Servomotor 1FT6086-8AH71-1EB0,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FT6086-8AH71-1EB0
N1 Antriebsdrehzahl:            4.500,00 1/min
Antriebsmoment:                 10,80 NM
Spannung [50Hz]:                333V
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP64-Staubdicht/Spritzwasser
Motor-Bremse:                   Nein"
1060050,Schraube M30x240 DIN912 12.9 schw.,"Zylinderschraube mit Innensechskant
M30 x 240
DIN 912
12.9
schwarz"
1965581,GT-Motor RF37DRN80M4TH,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 RF37DRN80M4TH
Leistung [kW]:                  0,750 kW
Antriebsmoment (max):           200,00 NM
Antriebsmoment (nenn):          96,00 NM
N1 Antriebsdrehzahl:            1.440,00 1/min
N2 Abtriebsdrehzahl:            75,00 1/min
Getriebeübersetzung i:          19,310
Spannung [50Hz]:                230D/400Y
Bauform:                        M4
Klemmkastenlage:                Normal
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
1970086,"ORing 33,0x5,0mm Viton FPM 80 Shore","ORing
33,00 x 5,00mm
WST: Viton FPM
80° Shore"
185876,"Kette 081 12,70 1/2""x3,30mm DIN8187","Rollenkette
081
Teilung: 12,70mm (1/2"")
Innere Breite: 3,30mm
DIN 8187"
1731540,"O-Ring 330,30x5,70mm FPM 70 Shore A","O-Ring
330,30 х 5,70 mm
WST: FPM
70° Shore A"
1970371,Servomotor AM8052-0L20-0000,"Servomotor
Herstellerteilenummer: 105061_BECKHOFF
Hersteller: Beckhoff
Typbezeichnung: AM8052-0L20-0000
N1 Antriebsdrehzahl: 7.300,00 1/min
Antriebsmoment: 8,20 NM
Spannung [50Hz]: 400V
Bauform: B5
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP54-Staubablage/Spritzwasser"
185854,"Kette 08A-1 12,70 1/2""x7,85mm DIN8188","Einfach Rollenkette
08A-1
Teilung: 12,70mm (1/2"")
Innere Breite: 7,85mm
DIN 8188

40R5MT_HITACHI
L85AANSI40_IWIS"
